"","email","vorname","nachname","landVorwahl","vorwahl","telNr","land","gebDat","straße","hnr","stiege","tnr","ort","plz","comb","pk","isDirty","errCol","errRule"
"17","rajeev_sambyal@yahoo.com","Armando","Dohr","43 nan","651","50067","AUT","1990-06-20","Bagoltenweg","5a","","","Hohenems","6845","Bagoltenweg 5a 6845 Hohenems",4228,"True",";landVorwahl",";Include_other_column"
"18","gstein@lyra.org","Miloš","Denk","43","q5eT","77458","AUT","1996-11-29","Obere Hauptstraße","44","","","Kleinhöflein","2070","Obere Hauptstraße 44 2070 Kleinhöflein",4628,"True",";vorwahl",";Add_Or_Replace_Character"
"19","chief1@westpark-va.com","Henrik","Knoll","43","666 Schöllenbach","584233","AUT","2024-02-08","Schöllenbach","8","","","Bergland","3254","Schöllenbach 8 3254 Bergland",2480,"True",";vorwahl",";Include_other_column"
"20","info@antique-guild.co.uk","Amar","Grill","43","663","8758","AUT","1942-09-11","Archenweg","4","}","","Jesdorf","5722","Archenweg 4 5722 Jesdorf",122,"True",";stiege",";Add_Or_Replace_Character"
"21","public-swbp-wg@w3.org","Louie","Aigner","43","666","72","AUT","2012-09-20","Steyrling","139",""," Steyrling","Steyrling","4571","Steyrling 139 4571 Steyrling",4811,"True",";tnr",";Include_other_column"
"22","info@jakks.net","Dorian","Mair","43","503","8268","DBET","2009-06-14","Lerchenweg","1","","","Eggenburg","3730","Lerchenweg 1 3730 Eggenburg",4254,"True",";land",";Add_Or_Replace_Character"
"23","akirkpatrick@ims-global.com","Rafee",")^T/ome""k","43","687","33341","AUT","2012-03-23","Pirkheimweg","6","","","Neutillmitsch","8434","Pirkheimweg 6 8434 Neutillmitsch",4516,"True",";nachname",";Add_Or_Replace_Character"
"24","450284@ingta.unizar.es","Raimund","Ammer","43","130","85053","AUT","1981-12-29","Brunnengasse","3","","","Pirkach","7341","Brunnengasse 3 7341 Lindgraben",1827,"True",";ort",";mismatch"
"25","gcs@eizel.com","Jacob","Karner","43","683","883555 8940","AUT","2016-04-28","Waldweg","3","","","Liezen","8940","Waldweg 3 8940 Liezen",2283,"True",";telNr",";Include_other_column"
"26","arosen@silverstream.com","Ian","Steininger","43","660","245","AUT","1998-01-06","Stiftin65talstraße","56a","","","Graz","8010","Stiftingtalstraße 56a 8010 Graz,10.Bez.:Ries",2102,"True",";straße",";Add_Or_Replace_Character"
"27","explorer6221@zapo.net","Malek","Eder","43","780","864255","AUT","1997-03-30","Kaltenbach","8","","","Kaltenbach","8694","Kaltenbach 8 8694 Kaltenbach",1688,"False","",""
"28","koffina@ics.forth.gr","Lion","Adam","43","684","803","AUT","2130-02-14","Haselbach","12","","","Haselbach","3920","Haselbach 12 3920 Haselbach",4195,"True",";gebDat",";mismatch"
"29","glazou_2000@yahoo.fr","Cyrill","Haas","43","670","746","AdTp","1980-06-09","Weingartenring","20","","","Neuzeug","4523","Weingartenring 20 4523 Neuzeug",3173,"True",";land",";Add_Or_Replace_Character"
"30","ltbbs@w3.org","Isaac","Schober","43","661","502","AUT","2001-08-27","Eichenweg","43","","","Mauerbach","3001","Hauptstraße 43 3001 Mauerbach",1424,"True",";straße",";mismatch"
"31","goodboy@good.com","Nihat","Frischmann","43","502","254","AUT","119608-07-033","Anschlußgasse","2","","","Wien","1140","Anschlußgasse 2 1140 Wien,Penzing",1196,"True",";gebDat",";Add_Or_Replace_Character"
"32","boudrand@impi-gipsi.fr","Ridwan","Auer","43","663","277","AUT","1999-12-20","Koschatweg","21a","","","Krumpendorf","C2u01","Koschatweg 21a 9201 Krumpendorf",2128,"True",";plz",";Add_Or_Replace_Character"
"33","crm-eae@gruposierrablanca.com","Stefano","list 43","43","502","137303","AUT","2001-02-24","Am Bach","9","","","Grünbach","4264","Am Bach 9 4264 Grünbach",4446,"True",";nachname",";Include_other_column"
"34","johan@concord.org","M6o6am9d","Holzer","43","667","5200","AUT","1953-09-10","Tröbings","17","","","Tröbings","3814","Tröbings 17 3814 Tröbings",3795,"True",";vorname",";Add_Or_Replace_Character"
"35","esopdirect@yahoo.com","Blake","O6chs","43","517","317433","AUT","1992-12-27","Schmiedestraße","49","","","Zell-Arzberg","3340","Schmiedestraße 49 3340 Zell-Arzberg",513,"True",";nachname",";Add_Or_Replace_Character"
"36","xan@tibco.com","Lionel","Kohler","43","694","5165","AUT","1997-04-22","Kleinreith","22","","","Kleinrpelth","4931","Kleinreith 22 4931 Kleinreith",752,"True",";ort",";Add_Or_Replace_Character"
"37","rodrigo@fiorde.com.br","Yannick","Wagner","43","674","642","AUT","1989-08-10","Hauptstraße","33","","","Perzendor8","3464","Hauptstraße 33 3464 Perzendorf",56,"True",";ort",";Add_Or_Replace_Character"
"38","bridge@gsnet.com","Elsandro","Schlager","43","685","610428 685","AUT","2008-06-24","Konrad-Lorenz-Straße","13a","","","Marchtrenk","4614","Konrad-Lorenz-Straße 13a 4614 Marchtrenk",703,"True",";telNr",";Include_other_column"
"39","keauto@simmani.com","Valerian","Wiedner","43","678","1331","AUT","1966-09-08","Finstergraben","27a AUT","","","Radmer an der Stube","8795","Finstergraben 27a 8795 Radmer an der Stube",727,"True",";hnr",";Include_other_column"
"40","jizhq@necas.nec.co.jp","Victor","Pichler","43","111","16510","AUT","2022-10-29","Randsiedlungsstraße","14b","","","Traiskirchen","2514,Traiskirchen","Randsiedlungsstraße 14b Wohnhaus 2514 Traiskirchen",4166,"True",";plz",";additional_infromation"
"41","kuppler@flashmail.com","Marlon","Obermayr","43","939","8050","AUT","2007-03-15","Eisenstädter Straße","7","","","Donnerskirchen","4040","Eisenstädter Straße 7 7082 Donnerskirchen",417,"True",";plz",";mismatch"
"42","alfonso@malibunetworks.com","Pavel","Stark","43","1","26445","AUT","2023-12-05","Kreilhofstraße","7","","","Kreilhof","3340,Waidhofen an der Ybbs","Kreilhofstraße 7 3340 Kreilhof",4072,"True",";plz",";additional_infromation"
"43","chezani@isuniv.ac.ir","Elmar","Koller","43","666","52458","AUT","2019-08-16","Rubinstraße","4","","","Muntlix","6835","Bloisweg 4 6835 Muntlix",4503,"True",";straße",";mismatch"
"44","infomye@yahoo.com.cn","Bedirhan","Draxler","43","10","15487","AUT","1991-07-25","Waldgasse","3","","","Zistersdorf","2525","Waldgasse 3 2225 Zistersdorf",1591,"True",";plz",";Similar_Different"
"45","moniot@pascal.dsm.fordham.edu","Alex","Neubauer","43","695","56246","AUT","2010-04-14","Kniewas","11","","","Kniewas","4572","Kniewas 11 4572 Kniewas",4671,"False","",""
"46","seak_tengfong@yahoo.com","Vallentin","Rhomberg","43","509","555662","AUT","2024-06-21","hauptstraße 9431","83","","","Großedling","9431","Hauptstraße 83 9431 Großedling",4851,"True",";straße",";Include_other_column"
"47","sdo@bea.com","Stanislaus","Brand","43","695","666","AUT","2018-08-03","Preinsdorf","12","","","Preinsdorf","4694","Preinsdorf 12 4694 Preinsdorf",696,"False","",""
"48","red@????.com","Arhan","Zach","43","821","65","AUT","2012-07-29","gasse 821","13","","","Oberhofen im Inntal","6406","Gasse 13 landwirtschaftliches Nebengebäude 6406 Oberhofen im Inntal",377,"True",";straße",";Include_other_column"
"49","rdc@mitre.org","Nikhil","838er","43","59","44838","AUT","2004-03-03","Hohenzeller Straße","3","","","Ried im Innkreis","4910","Hohenzeller Straße 3 4910 Ried im Innkreis",4528,"True",";nachname",";Add_Or_Replace_Character"
"50","al_medeiros@hotmail.com","Festus","Schmidt","43","697","352205","AUT","2012-01-07","Klosterstraße","1b","","","Irenental","3011","Klosterstraße 1b 3011 Irenental",4714,"False","",""
"51","dbox@develop.com","Taner","Zeiner","43","720","63275","AUT","1947-12-01 8200","Ludersdorf","239","","","Ludersdorf","8200","Ludersdorf 239 8200 Ludersdorf",4031,"True",";gebDat",";Include_other_column"
"52","esafe@gva.es","Hubert","Lettner","43","780","512328","AUT","n19J6-a01-y4","Hüttfeldstraße","30","","","Kössen","6345","Hüttfeldstraße 30 6345 Kössen",2635,"True",";gebDat",";Add_Or_Replace_Character"
"53","jenkinsdunbar@netscape.net","gabriël 652","Graf","43","652","52245","AUT","2018-01-05","Oberer Markt","2","","","Oberwölbling","3124","Oberer Markt 2 3124 Oberwölbling",1756,"True",";vorname",";Include_other_column"
"54","faisala@ggpc.co.id","Lion","Ertl","43","655","6126","AUT","1953-07-20","Egelsdorf","76","","","egelsdorf","8261","Egelsdorf 76 8261 Egelsdorf",3758,"True",";ort",";Start_With_Lowercase"
"55","lingshan@lingshan.com.cn","Amri","Neumaier","43","674","24612","AUT","1987-04-10","Ankerweg","13","","","Oberschwarza","6972","Ankerweg 13 6972 Fußach",1569,"True",";ort",";mismatch"
"56","dadsaj@uni-mb.si","Hermann","Vogl","43","690","5562","AUT","2056-11-02","Eisenpaßstraße","18","","","Zlatten","8132","Eisenpaßstraße 18 8132 Zlatten",2837,"True",";gebDat",";mismatch"
"57","mel@ip.etecsa.cu","Aras","thaler","43","504","455","AUT","2016-12-15","Hofstatt","136","","","Edlitz","2842","Hofstatt 136 2842 Edlitz",1777,"True",";nachname",";Start_With_Lowercase"
"58","njalpas@jlonline.com","Udo","Buchinger","43","659","580","AUT","1988-12-07","Siebenmühlenweg","24","","","Seewalchen am Attersee","4863","Siebenmühlenweg 24 4863 Seewalchen am Attersee",1329,"False","",""
"59","barbara@kingsandqueens.biz","Mohamed","Schwaighofer","43","939","5668","AUT","2023-04-21","Haidach","38","","""","Fügen","6263","Haidach 38 6263 Fügen",439,"True",";tnr",";Add_Or_Replace_Character"
"60","jbennett@kaivo.com","Talib","Kaufmann","43","57","8278","AUT","1963-05-22","rückersdorf","39","","","Rückersdorf","9133","Rückersdorf 39 9133 Rückersdorf",3269,"True",";straße",";Start_With_Lowercase"
"61","uri@w3c.org","Xyrel","Klein","43","657","621","AUT","2020-07-02","Untertamberg","1","","","Amberg","4100","Unteramberg 1 4100 Amberg",4834,"True",";straße",";Similar_Different"
"62","tim@crossweave.com","Diart","Prinz","43","681","17753","AUT","2017-10-13","Bergen","14","","","Weinberg im Burgenland","7537","Bergen 14 7537 Neuberg im Burgenland",376,"True",";ort",";Similar_Different"
"63","8qwy208.txt@tux.w3.org","Colin","Swoboda","43","676","53007","A'T[","1998-11-30","Schanz","270","","","Leutasch","6105","Schanz 270 6105 Leutasch",3804,"True",";land",";Add_Or_Replace_Character"
"64","david.dorward@fishic.com","Dean","Wille","43","508","34636","AUT","20=5-09-24","Sonnleiten","12","","","Münichsthal","2122","Sonnleiten 12 2122 Münichsthal",1555,"True",";gebDat",";Add_Or_Replace_Character"
"65","sjmm@us.ibm.com","Muhammad","Ahmed","43","685","426","AUT","2003-01-13","Stelzhamerstraße","18","","","Steyr","4400","Stelzhamerstraße 18 4400 Steyr",511,"False","",""
"66","subinhan2003@yahoo.co.kr","Davor","Strobl","43","667","183","","1989-04-18","Sterglegg","33","","","Sterglegg","8552","Sterglegg 33 8552 Sterglegg",3262,"True",";land",";mismatch"
"67","ulrich.windl@rz.uni-regensburg.de","Ambros","Köck","43","900","1247","AUT","2006-02-16","Irrsberg","102","","","Keusching","5310","Irrsberg 102 5310 Keuschen",2009,"True",";ort",";Similar_Different"
"68","xfranc@online.fr 200","Batuhan","Schmid","43","684","200","AUT","1975-10-24","Anton Fuchs-Straße","1","","","Pielach","3390","Anton Fuchs-Straße 1 3390 Pielach",187,"True",";email",";Include_other_column"
"69","optitarget-27consuminfo@opti7.com","Franciszek","Fischer","43","664","425","AUT","2019-03-24","Gerold.nger Str,a/!e","6","","","Schönbühel an der Donau","3394","Geroldinger Straße 6 3394 Schönbühel an der Donau",4423,"True",";straße",";Add_Or_Replace_Character"
"70","adfunk200@yahoo.com","Halid","Fleisch","43","59","52072","A/U}","1986-03-13","Lohnau","33","","","Lohnau","5261","Lohnau 33 5261 Lohnau",310,"True",";land",";Add_Or_Replace_Character"
"71","mrg@decisionsoft.com","Asan","Schnabl","43","501","67436","","2010-08-22","Tei0hs3tra0ß2e","21","","","Neudau","8292","Teichstraße 21 8292 Neudau",1039,"True",";land;straße",";Similar_Different;Add_Or_Replace_Character"
"72","ken.klose@imedium.com","Leander","Geiger","43","506","3328","AUT","1977-02-06","Föhrengasse","3","","","Guntramsdorf","2353","Föhrengasse 3 2353 Guntramsdorf",1176,"False","",""
"73","gst2@home.com","Till","Baier","43","59","61126","AUT","1988-09-27","Unterdorf","119","","","Stans","6135","Unterdorf 119 6135 Stans",630,"False","",""
"74","jmg@trivida.com","Milo","Sturm","43","670","16408","AUT","1986-07-30","Badergasse","224","","","Nassereith","6265","Badergasse 224 6465 Nassereith",3326,"True",";plz",";Similar_Different"
"75","wanluqi@public.sta.net.cn","Eymen","Aigner","43","678","540","AUT","1704-03-13","Pyhrn","28","","","Spital am Pyhrn","4582","Pyhrn 28 4582 Spital am Pyhrn",402,"True",";gebDat",";mismatch"
"76","michael.dreksler@parsec.co.uk","Ilhan","Rauch","43","720","28257","AUT","2002-09-01","Tautenhayngasse","21","",".","Wien","1150","Tautenhayngasse 21 1150 Wien,Rudolfsheim-Fünfhaus",1697,"True",";tnr",";Add_Or_Replace_Character"
"77","hq00001@hotmail.com","Klemens","Pichler","43","657","2058","AUT","1978-07-10","Bifangstraße","`4(0","","","Rankweil","6830","Bifangstraße 40 6830 Rankweil",1072,"True",";hnr",";Add_Or_Replace_Character"
"78","junk@talacia.com","Ilija","Pelz","43","671","700323","AUT","2021-09-28","binderweg","1","","","Kleinreith","4694","Binderweg 1 4694 Kleinreith",1900,"True",";straße",";Start_With_Lowercase"
"79","tomactor@aol.com","Erwin","eder Eichenweg","43","720","621142","AUT","1968-11-20","Eichenweg","9","","","Fußach","6973","Eichenweg 9 6973 Fußach",174,"True",";nachname",";Include_other_column"
"80","chris_smithies@penop.com","Heinz","Aschenbrenner","43","666","815762","","2004-12-27","Klapping","19","","","Klapping","8354","Klapping 19 8354 Klapping",1985,"True",";land",";mismatch"
"81","tag@w3.org","Fuad","Busch","43","780","2556","A10","1995-06-21","Pulkautal","7","","","Pulkau","3741","Pulkautal 7 3741 Pulkau",4858,"True",";land",";Add_Or_Replace_Character"
"82","lofton@rockynet.com","Nick","Müller","43","1455","351","AUT","1972-02-22","Putzenbach","5","","","Putzenbach","4720","Putzenbach 5 4720 Putzenbach",907,"False","",""
"83","andy.green24@btopenworld.com","Ugur","Lindner","43","665","832","AUT","2020-10-18","St. Antoniusstraße","18",""," St. Antoniusstraße","Bludenz","6700","St. Antoniusstraße 18 6700 Bludenz",2245,"True",";tnr",";Include_other_column"
"84","vesanvi@alumni.uv.es","Stevan","Maier","43","657","403160","aUT","1997-04-29","Ungargasse","134","","","Mitterpullendorf","7350","Ungargasse 134 7350 Mitterpullendorf",2015,"True",";land",";Start_With_Lowercase"
"85","francesca@cblue.org","Yassien","Baumann","43","1|1=8`","654","AUT","2013-04-23","Hofsteigstraße","105g","","","Hard","6971","Hofsteigstraße 105g 6971 Hard",25,"True",";vorwahl",";Add_Or_Replace_Character"
"86","asbjorn.ulsberg@nrk.no","Hasan","Graf","43","659","486726","A-U\T}","2006-06-17","Turnerstraße","5","","","Brunn am Gebirge","2345","Turnerstraße 5 2345 Brunn am Gebirge",3070,"True",";land",";Add_Or_Replace_Character"
"87","lzy@ustc.edu.cn","Anil","Graf","43","517","4720","AUT","1967-03-25","Ginzersdorf","118","","","Ginzersdorf","Xw2g1m43","Ginzersdorf 118 2143 Ginzersdorf",1458,"True",";plz",";Add_Or_Replace_Character"
"88","aav@f3983.dd.vaz.tlt.ru","Lavand","Landauer","43","130","76300","AUT","2016-06-01","Rottenberg","8","","","Rottenberg","4681","Rottenberg 8 3681 Rottenberg",1776,"True",";plz",";Similar_Different"
"89","masteryyjj@naver.com","ege","Ratz","43","694","77164","AUT","2007-09-22","Birkenstraße","12","","","Bruck an der Großglocknerstraße","5662","Birkenstraße 12 5662 Bruck an der Großglocknerstraße",4054,"True",";vorname",";Start_With_Lowercase"
"90","edi@hot&m|ail,c-m","Umeyr-Lutfi","Beranek","43","694","44732","AUT","2012-12-15","Hopfenleiten","407","","","Groß Gerungs","3920","Hopfenleiten 407 3920 Groß Gerungs",2163,"True",";email",";Add_Or_Replace_Character"
"91","soloboso1f02h@aol.com","Leandro","Neumayer","43","686","U2a212","AUT","1990-09-17","Rettenberg","87","","","Rettenberg","8444","Rettenberg 87 8444 Rettenberg",1087,"True",";telNr",";Add_Or_Replace_Character"
"92","lhecking@nmrc.ucc.ie","Nevio-Alessandro","Maier","4[3'","664","763766","AUT","1992-01-31","Huj","27","","","Güttenbach","7536","Huj 27 7536 Güttenbach",101,"True",";landVorwahl",";Add_Or_Replace_Character"
"93","xyz.chat@home.ru","Noris","käfer","43","505","10380","AUT","2005-05-27","Unterdorf","44","","","Riefensberg","6943","Unterdorf 44 6943 Riefensberg",4266,"True",";nachname",";Start_With_Lowercase"
"94","beingc@188.net","Leandro","Erlacher","43 13","1455","220336","AUT","2021-05-16","Stocket","13","","","Stocket","4782","Stocket 13 4782 Stocket",390,"True",";landVorwahl",";Include_other_column"
"95","gary.ng@networkinference.com","|~asi]r","Gmeiner","43","684","5310","AUT","1989-08-10","Stehlen","476","","","Langen bei Bregenz","6932","Stehlen 476 6932 Langen bei Bregenz",2007,"True",";vorname",";Add_Or_Replace_Character"
"96","sander@intertrust.com","Saad","Strobl","43","xNw30","305782","AUT","1975-10-29","St. Marienweg","37b","","","Absam","6067","St. Marienweg 37b 6067 Absam",2339,"True",";vorwahl",";Add_Or_Replace_Character"
"97","tchia@dri.cornell.edu","Jamie","Mandl","43","653","41735","AUT","1814-02-02","Schwefelbad","17","","","Fieberbrunn","6391","Schwefelbad 17 6391 Fieberbrunn",4991,"True",";gebDat",";mismatch"
"98","optitarget-27consuminfo@opti7.com","Teodor","Wimmer","43","675","38","AUT","1999-12-12","Stadtplatz","11","","","Radstadt","5550,Radstadt","Stadtplatz 11 5550 Radstadt",2426,"True",";plz",";additional_infromation"
"99","brockdock22@hotmail.com","Giuseppe","Wiener","43","693","17215","AUT","2016-01-15","orionstraße","10","","","Pöls","8761","Orionstraße 10 8761 Pöls",2846,"True",";straße",";Start_With_Lowercase"
"100","michel@ai.univie.ac.at","Eliah","Enzinger","43","698 nan","772820","AUT","2009-01-02","Kirchfeld","8","","","Bergheim","5101","Kirchfeld 8 5101 Bergheim",2062,"True",";vorwahl",";Include_other_column"
"101","info_master@yume.otegami.com","Mohamed","Lechner","+:3","111","33354","AUT","2024-08-10","Althammerhofstraße","6","","","Breitenstein","2641","Althammerhofstraße 6 2641 Breitenstein",1190,"True",";landVorwahl",";Add_Or_Replace_Character"
"102","oub@mat.ucm.es","Ilias","Pfeiff140","43","682","270","AUT","2000-10-09","Gutenbergstraße","8","","","Hohenems","6845","Gutenbergstraße 8 6845 Hohenems",646,"True",";nachname",";Add_Or_Replace_Character"
"103","cbeerse@hiscom.nl","Yonus","Wink.ler","43","692","2061","AUT","1983-09-11","Treglwang","81","","","Treglwang","8782","Treglwang 81 8782 Treglwang",2253,"True",";nachname",";Add_Or_Replace_Character"
"104","jonathanpaul7@eudoramail.com","Kylian","Adelmann","43","682","645","AUT","1964-02-11","palgausItraßC","4","","","Weiler","6837","Walgaustraße 4 6837 Weiler",1066,"True",";straße",";Add_Or_Replace_Character"
"105","lisa@freightmart.com","Radiša","Leutgeb","43","661","6300","AUT","2008-03-17","Schulgasse","49","","","Mu747t9ers","6162","Schulgasse 49 6162 Mutters",3913,"True",";ort",";Add_Or_Replace_Character"
"106","raman@adobe.com","Islam","Zach","43","651","437475","AUT","1991-01-18","Kammersdorf","47","}","","Kammersdorf","2033","Kammersdorf 47 2033 Kammersdorf",1484,"True",";stiege",";Add_Or_Replace_Character"
"107","vbirjukov@mail.ru","Anselm","Mühlbacher","43","675","1140","AU1T","1990-03-03","Mitterbrunnwald","3","","","Mitterbrunnwald","4183","Mitterbrunnwald 3 4183 Mitterbrunnwald",4632,"True",";land",";Add_Or_Replace_Character"
"108","jhm@annons.dn.se","Jacob","Meier","43","120","831212","AUT","1981-10-02","Unterthalheim1","49","","","Unterthalheim","3672","Unterthalheim 49 3672 Unterthalheim",1367,"True",";straße",";Add_Or_Replace_Character"
"109","f@d.com","Janik","Götz","43","720","46773","AUT","1985-08-08","Austraße","40","","","Lengdorf","5722","Austraße 40 5722 Lengdorf",1818,"False","",""
"110","pybcan@naver.com","Omar","*chau%er.","43","804","422170","AUT","2005-04-23","Koglhof","43","","","Aschau","8191","Koglhof 43 8191 Aschau",1910,"True",";nachname",";Add_Or_Replace_Character"
"111","eliot@isogen.com","Dorian","Ferstl","43","696","8151","AUT","1977-11-17","Hauptstraße","21","","","Tullnerbach-Lawies","308813","Hauptstraße 21 3013 Tullnerbach-Lawies",456,"True",";plz",";Add_Or_Replace_Character"
"112","fents@metalab.unc.edu","Dominique","Koller","43","939","8633","AUT","2007-04-17","August-Kronberger-Gasse","12","","","Wien","1100","August-Kronberger-Gasse 12 1100 Wien,Favoriten",349,"True",";ort",";Similar_Different"
"113","macewan@macewan.org","Ismail","S2ch12z","43","930","422","AUT","1980-07-12","Pommersdorf","7","1.0","","Pommersdorf","3820","Pommersdorf 7Stg.1 3820 Pommersdorf",3168,"True",";nachname",";Add_Or_Replace_Character"
"114","maillist@chris.hubick.com Miran","Miran","Imsirovic","43","680","4241","AUT","2000-04-16","In der Bruck","4","","","Hofamt","3192","In der Bruck 4 3192 Hofamt",319,"True",";email",";Include_other_column"
"115","coserve@octranspo.com","Âlim-Cenk","Klein","43","939","25673","AUT","1981-03-14 Klein","Dorf","69","","","Pfunds","6542","Dorf 69 6542 Pfunds",4507,"True",";gebDat",";Include_other_column"
"116","bdournaee@rsasecurity.com Habach","Louie","Schmid","43","680","532","AUT","1982-09-19","Waldhofweg","5","","","Habach","5321","Waldhofweg 5 5321 Habach",2466,"True",";email",";Include_other_column"
"117","mdjukic@dial.pipex.com","M1ha0e8","Wimmer","43","660","1770","AUT","2004-02-27","Guggasiedlung","30","","","Deuchendorf","8605","Guggasiedlung 30 8605 Deuchendorf",1592,"True",";vorname",";Add_Or_Replace_Character"
"118","yahangirlk@lycos.co.kr","Aldin","Steinlechner","c3q","660","61106","AUT","1981-07-18","Eisenstädterstraße","35a","","","Bad Sauerbrunn","7202","Eisenstädterstraße 35a 7202 Bad Sauerbrunn",3060,"True",";landVorwahl",";Add_Or_Replace_Character"
"119","8880-020503;3506test2@chuns[bong<com","Lorik","Kellner","43","10","27131","AUT","1976-10-14","Obererla","37","","","Obererla","3672","Obererla 37 3672 Obererla",3053,"True",";email",";Add_Or_Replace_Character"
"120","cmanros@cp10.es.xerox.com","Malik","Ebner","43","694","54130","AUT","2016-06-02","Kapellenweg","2","","","Karnabrunn","2113","Kapellenweg 2 2113 Karnabrunn",3364,"True",";ort",";additional_infromation"
"121","paul.obrien1@btinternet.com","Vikrant","Fink","43","692","1001","AUT","2007-12-24","Hochstraße","`1*5a","","","Eggenburg","3730","Hochstraße 15a 3730 Eggenburg",1659,"True",";hnr",";Add_Or_Replace_Character"
"122","fathi@faraco.com","Luka-Emilijo","Augustin","/3&","509","557366","AUT","2017-02-14","Pians","36","","","Pians","6551","Pians 36 6551 Pians",4248,"True",";landVorwahl",";Add_Or_Replace_Character"
"123","pierre@w3.org","Ishak","Mayer","43","800","5586","AUT","1947-02-15","cakeMrn IX","138","","","Takern II","8321","Takern II 138 8321 Takern II",1562,"True",";straße",";Add_Or_Replace_Character"
"124","xica_1033@hotmail.com 99a","Diego","Schneider","43","503","3848","AUT","1980-12-16","Traunsteinstraße","99a","","","Gmunden","4810","Traunsteinstraße 99a 4810 Gmunden",2034,"True",";email",";Include_other_column"
"125","kai.grossjohann@uni-duisburg.de","Daoud","Maier","43","508","51881","AUT","2009-08-20","Hart, Föhrenstraße","1","","","Hart","330x4","Hart, Föhrenstraße 1 3304 Hart",2475,"True",";plz",";Add_Or_Replace_Character"
